asi_slno,raw_text,page
28,Brick mound Gadh Dhanora Kondagaon,16
29,Chaitaurgarh Close to Bagdara Korba,16
30,Mahadeo Temple Pali Korba,16
31,The remains of a very ancient temple Tuman Korba and mounds of scultured and unsculptured stones,16
32,Monuments & Temples Sirpur Mahasamund Arang Raipur,16
33,Where the monuments are to be found Sirpur Mahasamund and the mound to the east of Arang Arang Raipur,16
34,The Pali inscription stone Semarsal Mungeli,16
35,Bhand Dewal Arang Raipur,16
36,Old temple near Gandai Gandai Rajnandgaon,16
37,Sita-Bengra and Jogimara rockcut caves Ramagarh hill Sarguja together with adjacent area of the hill,16
38,Jogimara Caves Ramagarh hill Sarguja,16
39,Ganesh Statues Barsur South Bastar Dantewada,16
40,Ancient sculptures in Danteswari Temple Barsur South Bastar Dantewada,16
41,Chandraditya Temple Barsur South Bastar Dantewada,16
42,Mamabhanjaka Temple Barsur South Bastar Dantewada,16
43,Danteswari Devi Temple Dantewada South Bastar Dantewada,16
44,Kamma Memorial or Urasgatta Post Dhilmlli South Bastar Dantewada,16
45,Megalithic site containing uraskals Gammewada South Bastar Dantewada,16
46,Karli Mahadeo Temple Sampur South Bastar Dantewada 16,16
6,List of Centrally protected Monuments / Sites under the jurisdiction of Daman & Diu (U.T.) (Vadodara Circle) Sl.No. Name of the Monument / Site Locality District,17
1,Bangli Diu Diu,17
2,Tower of Silence Diu Diu,17
3,Fort together with the inside building Fort Walls Diu,17
4,"Old Mosque (Jami Masjid) Inside the Fort, Diu Diu",17
5,St. Paul's Church Outside the fort Diu,17
